method_slug,sample_id,db_id,input_type,operation_type,dependency_sensitive,target_state_correct,first_failure_stage,error_type,output_tokens
direct,seed_000302,card_games,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,seed_000291,california_schools,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,execution,execution_error,4096
direct,seed_000224,card_games,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,aug_seed_000162_relational_format_variant_002,codebase_community,semi_structured,insert_ignore,1,0,execution,execution_error,4096
direct,seed_000056,california_schools,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,seed_000311,card_games,semi_structured,plain_insert,0,0,execution,execution_error,4096
direct,aug_seed_000020_relational_format_variant_002,european_football_2,semi_structured,insert_ignore,1,0,execution,execution_error,4096
direct,seed_000088,thrombosis_prediction,semi_structured,insert_ignore,1,0,execution,execution_error,4096
direct,seed_000030,student_club,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,seed_000131,california_schools,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,seed_000337,card_games,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,seed_000343,financial,semi_structured,insert_ignore,0,0,execution,execution_error,4096
direct,seed_000151,student_club,semi_structured,upsert_update,0,0,execution,execution_error,4096
direct,seed_000011,card_games,semi_structured,upsert_update,0,0,execution,execution_error,4096
j_fs,seed_000005,financial,semi_structured,plain_insert,0,0,parse,parse_error,4096
j_fs,aug_seed_000073_relational_format_variant_002,superhero,semi_structured,plain_insert,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000302,card_games,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000346_relational_format_variant_002,codebase_community,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000291,california_schools,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000202_relational_format_variant_001,student_club,free_text,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000356,financial,semi_structured,insert_ignore,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000002_relational_format_variant_003,debit_card_specializing,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000275_relational_format_variant_003,student_club,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000224,card_games,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000162_relational_format_variant_002,codebase_community,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000072_relational_format_variant_003,toxicology,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000099,formula_1,free_text,insert_ignore,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,seed_000056,california_schools,semi_structured,upsert_update,0,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000020_relational_format_variant_002,european_football_2,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000202_relational_format_variant_003,student_club,semi_structured,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
j_fs,aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,build,MISSING_WRITE_GROUPS,4096
