gate,sample_id,verdict,candidate_correct,cell
semantic_risk_gate,final_archeology_003,REJECT,0,D_reject_wrong
semantic_risk_gate,final_archeology_004,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_006,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_007,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_008,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_009,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_013,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_014,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_015,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_018,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_019,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_020,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_022,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_023,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_024,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_028,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_030,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_032,PASS,0,B_pass_wrong
semantic_risk_gate,final_archeology_034,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_037,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_038,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_039,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_043,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_044,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_045,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_046,PASS,0,B_pass_wrong
semantic_risk_gate,final_archeology_051,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_052,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_053,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_054,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_058,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_059,PASS,1,A_pass_correct
semantic_risk_gate,final_archeology_060,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_004,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_005,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_006,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_007,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_008,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_009,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_010,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_011,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_012,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_013,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_014,PASS,0,B_pass_wrong
semantic_risk_gate,final_polar_015,PASS,0,B_pass_wrong
semantic_risk_gate,final_polar_018,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_019,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_020,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_021,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_022,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_023,PASS,0,B_pass_wrong
semantic_risk_gate,final_polar_024,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_028,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_029,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_030,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_032,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_034,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_035,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_036,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_037,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_038,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_039,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_043,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_044,PASS,0,B_pass_wrong
semantic_risk_gate,final_polar_045,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_046,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_049,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_050,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_051,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_052,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_053,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_054,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_058,PASS,0,B_pass_wrong
semantic_risk_gate,final_polar_059,PASS,1,A_pass_correct
semantic_risk_gate,final_polar_060,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_004,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_006,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_007,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_008,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_009,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_013,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_014,PASS,0,B_pass_wrong
semantic_risk_gate,final_robot_015,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_022,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_023,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_024,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_026,PASS,0,B_pass_wrong
semantic_risk_gate,final_robot_028,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_029,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_030,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_032,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_037,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_038,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_039,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_043,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_044,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_045,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_047,PASS,0,B_pass_wrong
semantic_risk_gate,final_robot_051,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_052,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_053,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_054,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_058,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_059,PASS,1,A_pass_correct
semantic_risk_gate,final_robot_060,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_007,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_008,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_009,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_013,PASS,1,A_pass_correct
semantic_risk_gate,final_vaccine_014,PASS,1,A_pass_correct
