sample_id	stageeng1_split	split_group_id	development_pilot_pool
gretel:train:10024:018014	development_train	fb449cbcfeba0814	false
gretel:train:10202:018192	development_dev	e611a92a5e6bc84b	true
gretel:train:10281:018271	development_train	441a94b77e51c035	false
gretel:train:10306:018296	development_train	ab31d572030e9b40	false
gretel:train:10334:018324	development_train	43a8490b30219f2e	false
gretel:train:10357:018347	development_train	0ce68c20614934e9	false
gretel:train:10397:018387	development_dev	3dc5295012103502	true
gretel:train:10483:018473	development_train	e4273d43183ad986	false
gretel:train:10513:018503	development_dev	a6367e41514556e5	true
gretel:train:10517:018507	development_dev	f0911a0b77df67f7	true
gretel:train:10591:018581	development_dev	6e1692868b8ca092	true
gretel:train:10665:018655	development_train	a6ad0e5b371f26c4	false
gretel:train:10825:018815	development_train	dc89f34fcb777a13	false
gretel:train:10843:018833	development_train	b5640f3b68d18fb8	false
gretel:train:10992:018982	development_dev	1d7cdeb71f403fb0	true
gretel:train:11041:019031	development_train	3216dd7a3386d1af	false
gretel:train:11047:019037	development_train	2a07124ab64c4ea5	false
gretel:train:11212:025199	development_train	6d44d3e478f36bf1	false
gretel:train:11292:025279	development_train	5a3634af6a362682	false
gretel:train:11299:025286	development_train	0b418732205863bf	false
gretel:train:11349:025336	development_train	ba576e461470d8f5	false
gretel:train:11485:025472	development_dev	af35ddea278d8c80	true
gretel:train:11503:025490	development_train	c1291300db5a1a18	false
gretel:train:11593:025580	development_train	1b1789149b4901b6	false
gretel:train:11680:025667	development_train	36ff19eec988ce61	false
gretel:train:11739:025726	development_train	fb0338332e2ab51d	false
gretel:train:11948:025935	development_train	e3cb4006b5bb2542	false
gretel:train:11980:025967	development_train	0bd76f150f02d1ea	false
gretel:train:11990:025977	development_train	d69b375be974c613	false
gretel:train:12089:026076	development_train	a2d3c18ea350040c	false
gretel:train:12097:026084	development_train	a64d134261778abd	false
gretel:train:12260:026247	development_train	4318eac317a1c281	false
gretel:train:12374:026361	development_train	0993143aa70492cd	false
gretel:train:12380:026367	development_train	98cf9a5d4b156a46	false
gretel:train:12410:026397	development_train	2d185eee4ccd256d	false
gretel:train:12420:026407	development_train	90f66dfdce4d4e77	false
gretel:train:12441:026428	development_train	0bceab0d79bfaa55	false
gretel:train:12541:026528	development_train	ea2f42a1d5c580fc	false
gretel:train:1260:044438	development_train	6e2233038777ee9a	false
gretel:train:12755:026742	development_train	525691dc356f7734	false
gretel:train:12878:026865	development_dev	8b42cdc90f466283	true
gretel:train:13008:026995	development_train	6cc02e38f214db0a	false
